,pitch_type,release_speed,release_pos_x,release_pos_z,pfx_x,pfx_z,vx0,vy0,ax,ay,az,effective_speed,release_spin_rate,release_extension,pitch_name
0,FF,98.1,3.1163,5.127,0.6755,1.5871,-9.7464,-142.6896,11.7013,33.7709,-9.9466,99.099,2290.0,6.934,4-Seam Fastball
1,FF,97.1,3.2454,4.9953,0.7224,1.5031,-8.3091,-141.2453,11.7506,32.2858,-11.1051,98.138,2181.0,6.901,4-Seam Fastball
2,FF,97.5,3.2692,5.1663,0.7172,1.5415,-12.6948,-141.4794,12.7216,31.9882,-9.9751,98.503,2202.0,6.984,4-Seam Fastball
3,FF,96.9,3.2836,5.2488,0.81,1.4746,-10.1365,-140.9064,13.209,31.5035,-11.4723,97.669,2295.0,6.726,4-Seam Fastball
4,FF,96.6,3.1837,5.1339,0.7581,1.6191,-9.7799,-140.5064,12.5056,32.9652,-10.0658,97.527,2343.0,6.918,4-Seam Fastball
5,FF,96.7,3.1295,5.1724,0.7203,1.4856,-8.5308,-140.738,11.6272,31.9678,-11.7665,97.456,2250.0,6.71,4-Seam Fastball
6,FF,97.2,3.5337,4.9894,0.9238,1.5702,-10.8688,-141.2024,14.9232,32.2021,-10.6294,97.516,2404.0,6.565,4-Seam Fastball
7,FF,95.8,3.1464,5.2158,0.6782,1.5553,-12.356,-139.0918,11.7131,30.1396,-10.5121,97.023,2336.0,7.03,4-Seam Fastball
8,FF,94.9,3.1579,5.0946,0.7072,1.6034,-12.9916,-137.7279,12.2258,31.5124,-10.2027,96.149,2170.0,7.219,4-Seam Fastball
9,FF,92.5,-2.5728,5.8064,-0.3734,1.3995,8.3568,-134.4931,-6.2986,28.8714,-14.6596,92.258,2279.0,6.166,4-Seam Fastball
10,FC,88.8,-2.7301,5.7771,0.2316,0.5349,8.0664,-129.1664,1.0812,23.8649,-25.8688,88.527,2517.0,5.889,Cutter
11,FC,89.1,-2.5653,5.7961,0.3185,0.5169,10.6664,-129.3395,1.4417,26.7473,-24.9477,89.933,2562.0,6.914,Cutter
12,FT,93.3,-2.5109,5.8125,-1.2959,0.9031,7.2337,-135.5862,-17.6073,31.1248,-19.5933,93.172,2188.0,6.399,2-Seam Fastball
13,FT,91.5,-2.4974,5.7224,-1.0628,0.8723,4.847,-133.3348,-14.2785,28.7505,-20.3475,93.825,2115.0,7.587,2-Seam Fastball
14,FF,93.3,-2.4382,5.8952,-0.4465,1.4176,9.4836,-135.5176,-7.4486,28.4719,-14.372,92.843,2292.0,6.033,4-Seam Fastball
15,FT,92.2,-2.456,5.8466,-1.2572,0.894,5.5459,-134.1077,-16.4401,30.6941,-20.5424,92.27,2140.0,6.487,2-Seam Fastball
16,FT,93.0,-2.452,5.8115,-1.3937,0.9251,5.9932,-135.1758,-18.415,30.7898,-19.3081,92.9,2203.0,6.394,2-Seam Fastball
17,FT,93.4,-2.5575,5.7098,-1.3761,0.8672,6.4228,-135.7087,-18.519,30.5359,-19.6144,93.576,2270.0,6.539,2-Seam Fastball
18,FT,92.1,-2.4146,5.7933,-0.9791,1.2446,6.9008,-133.8204,-13.4476,28.19,-15.3312,93.016,2260.0,6.861,2-Seam Fastball
19,FF,92.4,-2.4018,5.8272,-0.4464,1.4794,7.6242,-134.3669,-7.0913,28.1237,-12.5345,93.246,2254.0,6.75,4-Seam Fastball
20,FC,88.3,-2.6586,5.8049,0.388,0.5635,7.6909,-128.2655,2.6366,27.077,-24.6006,88.003,2429.0,6.247,Cutter
21,FT,92.8,-2.5271,5.7843,-1.1316,1.0135,5.9369,-134.9997,-15.1623,28.3844,-18.8165,93.163,2209.0,6.444,2-Seam Fastball
22,FF,93.5,-2.4969,5.8408,-0.3036,1.3653,9.8201,-135.6365,-5.7987,27.8599,-13.3721,93.774,2273.0,6.484,4-Seam Fastball
23,FC,89.2,-2.551,5.8562,0.3861,0.4363,6.2538,-129.8368,3.0423,26.947,-26.8195,89.056,2488.0,6.165,Cutter
24,FF,92.9,-2.4393,5.7785,-0.658,1.3309,5.2943,-135.3448,-9.4669,32.0775,-15.2006,93.872,2223.0,6.991,4-Seam Fastball
25,FC,88.8,-2.6086,5.7995,0.1563,0.5197,8.0925,-129.1162,-0.0188,28.026,-26.0482,88.553,2521.0,6.275,Cutter
26,FF,93.3,-2.5995,5.7416,-0.5786,1.2701,7.0669,-135.6567,-8.6659,29.1098,-15.3383,93.38,2156.0,6.338,4-Seam Fastball
27,FT,92.1,-2.6619,5.8237,-0.9176,1.1611,7.3521,-133.9263,-12.6507,28.235,-17.6783,92.411,2248.0,6.46,2-Seam Fastball
28,FC,89.1,-2.5455,5.7878,0.2835,0.489,9.5453,-129.2027,1.1393,27.2252,-25.3064,88.54,2467.0,6.159,Cutter
29,FT,91.8,-2.7347,5.8757,-0.991,1.019,6.4487,-133.5297,-13.077,26.7806,-19.7675,91.601,2258.0,6.038,2-Seam Fastball
